,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,BUSH SCHOOL OF GOVT. - DEANS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
COURSE TOTAL:,26,12,0,0,0,38,3.684,0,0,0,0,0,38,
,68.42%,31.58%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
INTA-653-600,20,0,0,0,0,20,4,0,0,0,0,0,20,MACNAMEE R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,0,0,0,0,20,4,0,0,0,0,0,20,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-657-600,19,0,0,0,0,19,4,0,0,0,0,0,19,MACNAMEE R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4,0,0,0,0,0,19,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-659-600,9,3,0,0,0,12,3.75,0,0,0,0,0,12,HUANG R
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-659-700,7,3,0,0,0,10,3.7,1,0,0,0,0,11,DALY S
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,6,0,0,0,22,3.727,1,0,0,0,0,23,
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-667-600,17,3,0,0,0,20,3.85,0,0,0,0,0,20,OLSON J
,85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,3,0,0,0,20,3.85,0,0,0,0,0,20,
,85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-670-601,7,0,0,0,0,7,4,0,0,0,0,0,7,MARIN THORNTON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-671-600,6,6,0,0,0,12,3.5,0,0,0,0,0,12,SNIDER E
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,6,6,0,0,0,12,3.5,0,0,0,0,0,12,
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-672-600,10,1,0,0,0,11,3.909,0,0,0,0,0,11,NORRIS W
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-673-600,5,3,0,0,0,8,3.625,0,0,0,0,0,8,NORRIS W
,62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,3,0,0,0,8,3.625,0,0,0,0,0,8,
,62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-675-600,12,5,0,0,0,17,3.705,0,0,0,1,0,18,TABAAR M
,70.59%,29.41%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,5,0,0,0,17,3.705,0,0,0,1,0,18,
,70.59%,29.41%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-680-700,7,4,1,0,0,12,3.5,1,0,0,0,0,13,SMITH J
,58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,1,0,0,12,3.5,1,0,0,0,0,13,
,58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,,,
INTA-686-600,11,0,0,0,0,11,4,0,0,0,0,0,11,NAPPER L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4,0,0,0,0,0,11,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-602,5,2,0,0,0,7,3.714,0,0,0,0,0,7,HAMIE C
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
INTA-689-603,6,3,0,0,0,9,3.666,0,0,0,0,0,9,SNIDER E
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-604,4,2,0,0,0,6,3.666,0,0,0,0,0,6,ROBERTSON R
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-605,6,3,0,0,0,9,3.666,0,0,0,0,0,9,RUYLE L
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-606,12,4,0,0,0,16,3.75,0,0,0,0,0,16,THOROUGHMAN K
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-607,5,0,0,0,0,5,4,0,0,0,0,0,5,CRUDO C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-689-608,6,0,0,0,0,6,4,0,0,0,0,0,6,SELLARS E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,14,0,0,0,58,3.758,0,0,0,0,0,58,
,75.86%,24.14%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,476,184,1,0,0,661,3.718,4,0,0,2,2,669,
,72.01%,27.84%,0.15%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,PUBLIC SERVICE &ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PSAA-601-601,11,12,0,0,0,23,3.478,0,0,0,0,0,23,WEST W
,47.83%,52.17%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-601-602,24,0,0,0,0,24,4,0,0,0,0,0,24,BULLOCK J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-601-603,22,0,0,0,0,22,4,0,0,0,0,0,22,BULLOCK J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-601-604,6,5,0,0,1,12,3.25,1,0,0,1,0,14,BEARFIELD D
,50.00%,41.67%,0.00%,0.00%,8.33%,,,,,,,,,
COURSE TOTAL:,63,17,0,0,1,81,3.74,1,0,0,1,0,83,
,77.78%,20.99%,0.00%,0.00%,1.23%,,,,,,,,,
PSAA-604-600,11,2,0,0,0,13,3.846,1,0,0,0,0,14,MCINTYRE D
,84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,2,0,0,0,13,3.846,1,0,0,0,0,14,
,84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-606-600,9,0,0,0,0,9,4,0,0,0,0,0,9,BOWMAN A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-608-700,16,3,0,0,0,19,3.842,0,0,0,0,0,19,WHITTEN G
,84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,3,0,0,0,19,3.842,0,0,0,0,0,19,
,84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-611-700,8,4,1,0,1,14,3.285,1,0,0,1,0,16,GREER R
,57.14%,28.57%,7.14%,0.00%,7.14%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,PUBLIC SERVICE &ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,8,4,1,0,1,14,3.285,1,0,0,1,0,16,
,57.14%,28.57%,7.14%,0.00%,7.14%,,,,,,,,,
PSAA-615-601,16,5,0,0,0,21,3.761,0,0,0,0,0,21,MARCHBANKS M
,76.19%,23.81%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-615-602,13,2,0,0,0,15,3.866,0,0,0,0,0,15,MARCHBANKS M
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,7,0,0,0,36,3.805,0,0,0,0,0,36,
,80.56%,19.44%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-616-600,14,6,0,0,0,20,3.7,0,0,0,0,0,20,ASHLEY F
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,6,0,0,0,20,3.7,0,0,0,0,0,20,
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-617-600,14,5,0,0,0,19,3.736,0,0,0,0,0,19,BOWMAN A
,73.68%,26.32%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,5,0,0,0,19,3.736,0,0,0,0,0,19,
,73.68%,26.32%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-621-601,10,10,1,0,1,22,3.272,0,0,0,0,0,22,TAYLOR L
,45.45%,45.45%,4.55%,0.00%,4.55%,,,,,,,,,
PSAA-621-602,16,1,0,0,0,17,3.941,0,0,0,0,0,17,HOUSE D
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-621-603,5,15,3,0,0,23,3.086,0,0,0,0,0,23,DAGUE L
,21.74%,65.22%,13.04%,0.00%,0.00%,,,,,,,,,
PSAA-621-604,9,12,1,0,0,22,3.363,1,0,0,0,0,23,DAGUE L
,40.91%,54.55%,4.55%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,PUBLIC SERVICE &ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PSAA-621-700,12,2,0,0,2,16,3.375,1,0,0,0,0,17,BULLOCK J
,75.00%,12.50%,0.00%,0.00%,12.50%,,,,,,,,,
COURSE TOTAL:,52,40,5,0,3,100,3.38,2,0,0,0,0,102,
,52.00%,40.00%,5.00%,0.00%,3.00%,,,,,,,,,
PSAA-623-601,15,1,0,0,0,16,3.937,0,0,0,0,0,16,GREER R
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-623-602,16,4,0,0,0,20,3.8,0,0,0,0,1,21,GREER R
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-623-700,23,1,0,0,1,25,3.8,0,0,0,0,0,25,LITTLE C
,92.00%,4.00%,0.00%,0.00%,4.00%,,,,,,,,,
COURSE TOTAL:,54,6,0,0,1,61,3.836,0,0,0,0,1,62,
,88.52%,9.84%,0.00%,0.00%,1.64%,,,,,,,,,
PSAA-624-600,10,1,0,0,0,11,3.909,0,0,0,0,0,11,PORTNEY K
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
PSAA-630-700,10,8,1,1,0,20,3.35,2,0,0,1,0,23,BROWN W
,50.00%,40.00%,5.00%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,8,1,1,0,20,3.35,2,0,0,1,0,23,
,50.00%,40.00%,5.00%,5.00%,0.00%,,,,,,,,,
PSAA-631-700,13,0,0,0,0,13,4,0,0,0,0,0,13,LITTLE C
