,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7223-601,0,2,1,5,12,1,3,2,0,0,0,0,0,26,2.999,0,0,0,26
HOLLAND H,0.00%,7.69%,3.85% 19.23% 46.15%,,3.85% 11.54%,,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,1,5,12,1,3,2,0,0,0,0,0,26,2.999,0,0,0,26
,0.00%,7.69%,3.85% 19.23% 46.15%,,3.85% 11.54%,,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7248-601,0,7,2,3,4,1,2,1,0,0,0,0,0,20,3.333,0,0,0,20
GREEN M,0.00% 35.00% 10.00% 15.00% 20.00%,,,,5.00% 10.00%,,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,7,2,3,4,1,2,1,0,0,0,0,0,20,3.333,0,0,0,20
,0.00% 35.00% 10.00% 15.00% 20.00%,,,,5.00% 10.00%,,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7290-601,1,1,2,2,0,1,1,2,0,0,0,0,1,11,2.819,0,0,0,11
GUTHERIE S,9.09%,9.09% 18.18% 18.18%,,0.00%,9.09%,9.09% 18.18%,,0.00%,0.00%,0.00%,0.00%,9.09%,,,,,,,
COURSE TOTAL:,1,1,2,2,0,1,1,2,0,0,0,0,1,11,2.819,0,0,0,11
,9.09%,9.09% 18.18% 18.18%,,0.00%,9.09%,9.09% 18.18%,,0.00%,0.00%,0.00%,0.00%,9.09%,,,,,,,
LAW-7303-601,2,1,3,5,4,2,1,0,0,0,0,0,0,18,3.297,0,0,0,18
BRADBURY J11.11%,,5.56% 16.67% 27.78% 22.22% 11.11%,,,,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,1,3,5,4,2,1,0,0,0,0,0,0,18,3.297,0,0,0,18
,11.11%,5.56% 16.67% 27.78% 22.22% 11.11%,,,,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7310-601,0,2,4,4,2,3,0,0,0,0,0,0,0,15,3.334,0,0,0,15
HELGE T,0.00% 13.33% 26.67% 26.67% 13.33% 20.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,4,4,2,3,0,0,0,0,0,0,0,15,3.334,0,0,0,15
,0.00% 13.33% 26.67% 26.67% 13.33% 20.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7319-601,0,4,3,1,6,2,1,0,0,0,0,0,0,17,3.294,0,1,0,17
LUCAS G,0.00% 23.53% 17.65%,,5.88% 35.29% 11.76%,,,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,4,3,1,6,2,1,0,0,0,0,0,0,17,3.294,0,1,0,17
,0.00% 23.53% 17.65%,,5.88% 35.29% 11.76%,,,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7332-601,0,1,5,4,2,4,0,2,1,0,0,0,0,19,3.053,1,3,0,20
PHAM L,0.00%,5.26% 26.32% 21.05% 10.53% 21.05%,,,,0.00% 10.53%,,5.26%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,5,4,2,4,0,2,1,0,0,0,0,19,3.053,1,3,0,20
,0.00%,5.26% 26.32% 21.05% 10.53% 21.05%,,,,0.00% 10.53%,,5.26%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7339-601,0,1,2,1,2,1,1,0,0,0,0,0,0,8,3.208,0,1,0,8
ECKSTEIN G,0.00% 12.50% 25.00% 12.50% 25.00% 12.50% 12.50%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,1,2,1,1,0,0,0,0,0,0,8,3.208,0,1,0,8
,0.00% 12.50% 25.00% 12.50% 25.00% 12.50% 12.50%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7368-601,0,3,2,0,0,0,0,0,0,0,0,0,0,5,3.868,0,0,0,5
GEORGE J,0.00% 60.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,2,0,0,0,0,0,0,0,0,0,0,5,3.868,0,0,0,5
,0.00% 60.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7383-601,0,2,5,1,8,4,7,0,0,0,0,0,0,27,2.987,0,0,0,27
SPURLOCK J,0.00%,7.41% 18.52%,3.70% 29.63% 14.81% 25.93%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,5,1,8,4,7,0,0,0,0,0,0,27,2.987,0,0,0,27
,0.00%,7.41% 18.52%,3.70% 29.63% 14.81% 25.93%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7389-601,0,1,2,3,4,0,0,0,0,0,0,0,0,10,3.333,0,0,0,10
GREEN M,0.00% 10.00% 20.00% 30.00% 40.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,3,4,0,0,0,0,0,0,0,0,10,3.333,0,0,0,10
