,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
ISTM-489-299,8,1,0,0,0,9,3.888,0,0,0,0,0,9,GEORGE J
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,2,0,0,0,20,3.9,0,0,0,0,0,20,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,INFORMATION & OPERATIONS MGMT,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ISTM-601-200,8,7,4,0,0,19,3.21,0,0,0,1,0,20,PHINNEY T
,42.11%,36.84%,21.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,7,4,0,0,19,3.21,0,0,0,1,0,20,
,42.11%,36.84%,21.05%,0.00%,0.00%,,,,,,,,,
ISTM-610-200,6,1,0,0,0,7,3.857,0,0,0,0,0,7,WHITTEN G
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,0,0,0,0,0,7,
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ISTM-615-201,16,9,1,0,0,26,3.576,0,0,0,0,0,26,BECKER A
,61.54%,34.62%,3.85%,0.00%,0.00%,,,,,,,,,
ISTM-615-202,7,7,1,1,0,16,3.25,0,0,0,0,0,16,BECKER A
,43.75%,43.75%,6.25%,6.25%,0.00%,,,,,,,,,
COURSE TOTAL:,23,16,2,1,0,42,3.452,0,0,0,0,0,42,
,54.76%,38.10%,4.76%,2.38%,0.00%,,,,,,,,,
ISTM-620-201,21,10,0,0,0,31,3.677,0,0,0,0,0,31,GOMILLION D
,67.74%,32.26%,0.00%,0.00%,0.00%,,,,,,,,,
ISTM-620-202,18,9,1,0,0,28,3.607,0,0,0,0,0,28,GOMILLION D
,64.29%,32.14%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,19,1,0,0,59,3.644,0,0,0,0,0,59,
,66.10%,32.20%,1.69%,0.00%,0.00%,,,,,,,,,
ISTM-689-299,6,0,0,0,0,6,4,0,0,0,0,0,6,GEORGE J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4,0,0,0,0,0,6,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,INFORMATION & OPERATIONS MGMT,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
