,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,ACADEMIC ENHANCEMENT-GV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
KINE-199-511,12,0,2,0,0,14,3.714,0,8,0,0,0,22,SLATTON K
,85.71%,0.00%,14.29%,0.00%,0.00%,,,,,,,,,
KINE-199-512,13,1,1,0,0,15,3.8,0,6,0,0,0,21,SLATTON K
,86.67%,6.67%,6.67%,0.00%,0.00%,,,,,,,,,
KINE-199-514,6,2,1,0,0,9,3.555,0,13,0,0,0,22,MACEO D
,66.67%,22.22%,11.11%,0.00%,0.00%,,,,,,,,,
KINE-199-522,5,3,0,1,0,9,3,0,13,1,0,0,23,STOKES K
,55.56%,33.33%,0.00%,11.11%,0.00%,,,,,,,,,
COURSE TOTAL:,114,10,5,1,1,131,3.736,0,79,2,4,0,216,
,87.02%,7.63%,3.82%,0.76%,0.76%,,,,,,,,,
KINE-210-401,18,3,1,0,1,23,3.608,0,0,0,0,0,23,MACEO D
,78.26%,13.04%,4.35%,0.00%,4.35%,,,,,,,,,
KINE-210-402,16,6,2,0,0,24,3.583,0,0,0,0,0,24,MACEO D
,66.67%,25.00%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,34,9,3,0,1,47,3.595,0,0,0,0,0,47,
,72.34%,19.15%,6.38%,0.00%,2.13%,,,,,,,,,
KINE-223-401,8,7,4,0,2,21,2.904,0,0,0,1,0,22,HUFTON A
,38.10%,33.33%,19.05%,0.00%,9.52%,,,,,,,,,
KINE-223-402,10,6,1,3,2,22,2.863,0,0,0,1,0,23,HUFTON A
,45.45%,27.27%,4.55%,13.64%,9.09%,,,,,,,,,
COURSE TOTAL:,18,13,5,3,4,43,2.883,0,0,0,2,0,45,
,41.86%,30.23%,11.63%,6.98%,9.30%,,,,,,,,,
MAST-265-401,5,5,2,0,0,12,3.25,0,0,0,1,0,13,WONIO M
,41.67%,41.67%,16.67%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,5,5,2,0,0,12,3.25,0,0,0,1,0,13,
,41.67%,41.67%,16.67%,0.00%,0.00%,,,,,,,,,
MAST-320-401,6,6,2,0,1,15,3.066,0,0,0,0,0,15,JOSVOLL K
,40.00%,40.00%,13.33%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,6,6,2,0,1,15,3.066,0,0,0,0,0,15,
,40.00%,40.00%,13.33%,0.00%,6.67%,,,,,,,,,
MAST-350-401,8,6,0,0,0,14,3.571,0,0,0,0,0,14,MARK S
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,6,0,0,0,14,3.571,0,0,0,0,0,14,
