,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
COMM-205-400,9,16,0,0,1,26,3.23,0,0,0,0,0,26,VISER V
,34.62%,61.54%,0.00%,0.00%,3.85%,,,,,,,,,
COURSE TOTAL:,9,16,0,0,1,26,3.23,0,0,0,0,0,26,
,34.62%,61.54%,0.00%,0.00%,3.85%,,,,,,,,,
ENGL-104-401,13,3,1,0,3,20,3.15,0,0,0,1,0,21,WALLACE D
,65.00%,15.00%,5.00%,0.00%,15.00%,,,,,,,,,
ENGL-104-403,19,0,0,0,0,19,4,0,0,0,0,0,19,PRESSWOOD P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-104-406,21,2,0,1,1,25,3.64,0,0,0,0,0,25,PRESSWOOD P
,84.00%,8.00%,0.00%,4.00%,4.00%,,,,,,,,,
ENGL-104-407,17,2,1,1,3,24,3.208,0,0,0,0,0,24,PRESSWOOD P
,70.83%,8.33%,4.17%,4.17%,12.50%,,,,,,,,,
ENGL-104-408,18,1,0,2,1,22,3.5,0,0,0,0,0,22,PRESSWOOD P
,81.82%,4.55%,0.00%,9.09%,4.55%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGL-104-409,5,2,0,0,3,10,2.6,0,0,0,1,0,11,ECHOLS K
,50.00%,20.00%,0.00%,0.00%,30.00%,,,,,,,,,
ENGL-104-410,10,0,0,0,1,11,3.636,0,0,0,0,0,11,ECHOLS K
,90.91%,0.00%,0.00%,0.00%,9.09%,,,,,,,,,
ENGL-104-411,8,1,0,0,2,11,3.181,0,0,0,0,0,11,BUNCH-DAVIS C
,72.73%,9.09%,0.00%,0.00%,18.18%,,,,,,,,,
COURSE TOTAL:,111,11,2,4,14,142,3.415,0,0,0,2,0,144,
,78.17%,7.75%,1.41%,2.82%,9.86%,,,,,,,,,
ENGL-203-400,1,11,5,1,4,22,2.181,0,0,0,0,0,22,TRABER D
,4.55%,50.00%,22.73%,4.55%,18.18%,,,,,,,,,
COURSE TOTAL:,1,11,5,1,4,22,2.181,0,0,0,0,0,22,
,4.55%,50.00%,22.73%,4.55%,18.18%,,,,,,,,,
ENGL-210-401,19,4,0,0,0,23,3.826,0,0,0,0,0,23,BROOKS S
,82.61%,17.39%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-700,15,2,3,0,1,21,3.428,0,0,0,0,0,21,GARZA-HORNE J
,71.43%,9.52%,14.29%,0.00%,4.76%,,,,,,,,,
ENGL-210-701,17,3,0,0,2,22,3.5,0,0,0,0,0,22,GARZA-HORNE J
,77.27%,13.64%,0.00%,0.00%,9.09%,,,,,,,,,
ENGL-210-702,15,4,0,0,0,19,3.789,0,0,0,1,0,20,GARZA-HORNE J
,78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
